id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_hour,pickup_weekday,trip_distance_km,trip_speed_kmh,time_of_day
id2067879,2,2016-01-19 23:19:01,2016-01-19 23:44:58,1,-73.99681854248048,40.75286102294922,-73.80900573730467,40.81687545776367,N,1557,23,1,17.341,40.09479768786127,Evening
id0526266,2,2016-05-15 09:42:58,2016-05-15 09:56:37,1,-73.93488311767578,40.80101013183594,-73.98300170898438,40.72256851196289,N,819,9,6,9.618,42.276923076923076,Morning
id3913101,1,2016-06-25 22:05:46,2016-06-25 22:22:29,2,-74.00141143798828,40.76143264770508,-73.92462921142578,40.86402893066406,N,1003,22,5,13.111,47.05842472582253,Evening
id0283075,1,2016-04-06 23:42:26,2016-04-07 00:12:08,1,-73.78247833251953,40.64464569091797,-73.9811248779297,40.72088623046875,N,1782,23,2,18.773,37.925252525252525,Evening
id0105610,1,2016-02-19 20:01:24,2016-02-19 20:35:49,3,-73.7897186279297,40.64370727539063,-73.97869873046875,40.75034332275391,N,2065,20,4,19.86,34.622760290556904,Evening
id3508035,2,2016-06-06 20:13:56,2016-06-06 20:45:20,6,-73.7881317138672,40.641460418701165,-73.97177124023438,40.749408721923835,N,1884,20,0,19.59,37.43312101910828,Evening
id0694434,1,2016-01-26 23:40:14,2016-01-26 23:48:39,1,-74.00679779052734,40.70607376098633,-73.9740219116211,40.74407577514648,N,505,23,1,5.048,35.98574257425742,Evening
id1630509,2,2016-03-16 05:42:49,2016-03-16 05:45:10,2,-73.99366760253906,40.74187850952149,-73.98458862304686,40.75429916381836,N,141,5,2,1.579,40.314893617021276,Night
id2326430,2,2016-06-10 22:06:53,2016-06-10 22:23:14,1,-73.95687866210938,40.77487182617188,-73.93650817871094,40.85718536376953,N,981,22,4,9.312,34.17247706422018,Evening
id2000923,2,2016-03-29 06:07:38,2016-03-29 06:09:03,5,-73.98786926269531,40.765098571777344,-73.99360656738281,40.75894927978516,N,85,6,1,0.837,35.449411764705886,Morning
id1935437,2,2016-04-24 09:09:20,2016-04-24 09:37:05,1,-73.97586059570312,40.75724029541016,-74.17759704589844,40.690948486328125,N,1665,9,6,18.53,40.064864864864866,Morning
id2718231,1,2016-03-08 02:44:19,2016-03-08 03:04:35,1,-73.99250030517578,40.74044418334961,-73.8401107788086,40.71951675415039,N,1216,2,1,13.05,38.63486842105263,Night
id1868620,2,2016-06-18 00:41:28,2016-06-18 01:10:34,1,-73.7818603515625,40.64468383789063,-73.96192169189453,40.767032623291016,N,1746,0,5,20.383,42.02680412371134,Night
id1474156,1,2016-06-25 07:30:13,2016-06-25 07:48:14,2,-73.97046661376953,40.799175262451165,-74.0172119140625,40.70519256591797,N,1081,7,5,11.168,37.192229417206285,Morning
id3211119,1,2016-01-02 22:54:49,2016-01-02 23:05:55,1,-73.97712707519531,40.75587844848633,-73.93854522705078,40.809852600097656,N,666,22,5,6.824,36.88648648648648,Evening
id3225079,1,2016-01-14 09:24:37,2016-01-14 10:00:01,1,-74.01663970947266,40.709857940673835,-73.78571319580078,40.712226867675774,N,2124,9,3,19.466,32.99322033898305,Morning
id0674512,1,2016-04-11 21:58:24,2016-04-11 22:16:33,1,-73.96540832519531,40.79537963867188,-74.0125732421875,40.70155334472656,N,1089,21,0,11.164,36.90578512396694,Evening
