id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,pickup_hour,pickup_weekday,trip_distance_km,trip_speed_kmh,time_of_day
id2875421,2,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.98215484619139,40.76793670654297,-73.96463012695312,40.765602111816406,N,455,17,0,1.499,11.860219780219781,Afternoon
id2377394,1,2016-06-12 00:43:35,2016-06-12 00:54:38,1,-73.98041534423827,40.738563537597656,-73.99948120117188,40.731151580810554,N,663,0,6,1.806,9.80633484162896,Night
id3858529,2,2016-01-19 11:35:24,2016-01-19 12:10:48,1,-73.97902679443358,40.763938903808594,-74.00533294677734,40.710086822509766,N,2124,11,1,6.385,10.822033898305085,Morning
id3504673,2,2016-04-06 19:32:31,2016-04-06 19:39:40,1,-74.01004028320312,40.719970703125,-74.01226806640625,40.70671844482422,N,429,19,2,1.485,12.461538461538462,Evening
id2181028,2,2016-03-26 13:30:55,2016-03-26 13:38:10,1,-73.97305297851561,40.79320907592773,-73.9729232788086,40.782520294189446,N,435,13,5,1.189,9.84,Afternoon
id0801584,2,2016-01-30 22:01:40,2016-01-30 22:09:03,6,-73.98285675048828,40.74219512939453,-73.99208068847656,40.74918365478516,N,443,22,5,1.099,8.930925507900678,Evening
id1813257,1,2016-06-17 22:34:59,2016-06-17 22:40:40,4,-73.9690170288086,40.75783920288086,-73.95740509033203,40.76589584350586,N,341,22,4,1.326,13.998826979472142,Evening
id1324603,2,2016-05-21 07:54:58,2016-05-21 08:20:49,1,-73.96927642822266,40.79777908325195,-73.92247009277344,40.76055908203125,N,1551,7,5,5.715,13.264990328820115,Morning
id1301050,1,2016-05-27 23:12:23,2016-05-27 23:16:38,1,-73.99948120117188,40.738399505615234,-73.98578643798828,40.73281478881836,N,255,23,4,1.31,18.494117647058825,Evening
id0012891,2,2016-03-10 21:45:01,2016-03-10 22:05:26,1,-73.98104858398438,40.744338989257805,-73.9729995727539,40.78998947143555,N,1225,21,3,5.121,15.049469387755105,Evening
id1436371,2,2016-05-10 22:08:41,2016-05-10 22:29:55,1,-73.98265075683594,40.76383972167969,-74.00222778320312,40.73299026489258,N,1274,22,1,3.806,10.754788069073783,Evening
id1299289,2,2016-05-15 11:16:11,2016-05-15 11:34:59,4,-73.9915313720703,40.74943923950195,-73.95654296875,40.7706298828125,N,1128,11,6,3.773,12.041489361702128,Morning
id1187965,2,2016-02-19 09:52:46,2016-02-19 10:11:20,2,-73.96298217773438,40.7566795349121,-73.98440551757811,40.760719299316406,N,1114,9,4,1.859,6.00754039497307,Morning
id0799785,2,2016-06-01 20:58:29,2016-06-01 21:02:49,1,-73.95630645751953,40.76794052124024,-73.96611022949219,40.76300048828125,N,260,20,2,0.992,13.735384615384616,Evening
id2900608,2,2016-05-27 00:43:36,2016-05-27 01:07:10,1,-73.99219512939453,40.72722625732422,-73.9746551513672,40.783069610595696,N,1414,0,4,6.383,16.25091937765205,Night
id3319787,1,2016-05-16 15:29:02,2016-05-16 15:32:33,1,-73.95551300048828,40.768592834472656,-73.94876098632812,40.77154541015625,N,211,15,0,0.657,11.209478672985782,Afternoon
