id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2067879,2,2016-01-19 23:19:01,2016-01-19 23:44:58,1,-73.99681854248048,40.75286102294922,-73.80900573730467,40.81687545776367,N,1557
id0526266,2,2016-05-15 09:42:58,2016-05-15 09:56:37,1,-73.93488311767578,40.80101013183594,-73.98300170898438,40.72256851196289,N,819
id3913101,1,2016-06-25 22:05:46,2016-06-25 22:22:29,2,-74.00141143798828,40.76143264770508,-73.92462921142578,40.86402893066406,N,1003
id1510700,2,2016-02-20 21:58:13,2016-02-20 21:59:10,1,-73.9583969116211,40.77262878417969,-73.95513153076173,40.77424240112305,N,57
id0283075,1,2016-04-06 23:42:26,2016-04-07 00:12:08,1,-73.78247833251953,40.64464569091797,-73.9811248779297,40.72088623046875,N,1782
id0105610,1,2016-02-19 20:01:24,2016-02-19 20:35:49,3,-73.7897186279297,40.64370727539063,-73.97869873046875,40.75034332275391,N,2065
id3508035,2,2016-06-06 20:13:56,2016-06-06 20:45:20,6,-73.7881317138672,40.641460418701165,-73.97177124023438,40.749408721923835,N,1884
id0694434,1,2016-01-26 23:40:14,2016-01-26 23:48:39,1,-74.00679779052734,40.70607376098633,-73.9740219116211,40.74407577514648,N,505
id2358953,2,2016-06-27 00:31:28,2016-06-27 01:06:44,1,-73.87081909179686,40.773738861083984,-73.85749816894531,41.0178108215332,N,2116
id1630509,2,2016-03-16 05:42:49,2016-03-16 05:45:10,2,-73.99366760253906,40.74187850952149,-73.98458862304686,40.75429916381836,N,141
id2326430,2,2016-06-10 22:06:53,2016-06-10 22:23:14,1,-73.95687866210938,40.77487182617188,-73.93650817871094,40.85718536376953,N,981
id2000923,2,2016-03-29 06:07:38,2016-03-29 06:09:03,5,-73.98786926269531,40.765098571777344,-73.99360656738281,40.75894927978516,N,85
id1935437,2,2016-04-24 09:09:20,2016-04-24 09:37:05,1,-73.97586059570312,40.75724029541016,-74.17759704589844,40.690948486328125,N,1665
id2718231,1,2016-03-08 02:44:19,2016-03-08 03:04:35,1,-73.99250030517578,40.74044418334961,-73.8401107788086,40.71951675415039,N,1216
id1868620,2,2016-06-18 00:41:28,2016-06-18 01:10:34,1,-73.7818603515625,40.64468383789063,-73.96192169189453,40.767032623291016,N,1746
id1474156,1,2016-06-25 07:30:13,2016-06-25 07:48:14,2,-73.97046661376953,40.799175262451165,-74.0172119140625,40.70519256591797,N,1081
id2954399,1,2016-06-27 11:22:37,2016-06-27 11:23:17,1,-74.00102996826173,40.75665283203125,-74.00099945068358,40.75662612915039,N,40
id3211119,1,2016-01-02 22:54:49,2016-01-02 23:05:55,1,-73.97712707519531,40.75587844848633,-73.93854522705078,40.809852600097656,N,666
id3225079,1,2016-01-14 09:24:37,2016-01-14 10:00:01,1,-74.01663970947266,40.709857940673835,-73.78571319580078,40.712226867675774,N,2124
id0674512,1,2016-04-11 21:58:24,2016-04-11 22:16:33,1,-73.96540832519531,40.79537963867188,-74.0125732421875,40.70155334472656,N,1089
